* 降臨チャレンジ！3【ノーコン】 [#rba4c151]

- [[降臨チャレンジ！>スペシャルダンジョン/降臨チャレンジ！]]

|~名称		|~スタミナ|~バトル|~備考|~クリア報酬|
||RIGHT:|RIGHT:||BGCOLOR(#ffd):|c
|>|>|>|>|BGCOLOR(#ffffff):【3】2015/02/23～2015/03/01（クリア期限は03/02まで）|
|&mons1215; 真龍界			|99|7|[[極限ドラゴンラッシュ！>スペシャルダンジョン/極限ドラゴンラッシュ！]]&br;絶地獄級|[[ミズピィ>モンスター図鑑/1548]]＋1000万コイン|
|&mons1371; 天魔界			|99|5|[[極限デビルラッシュ！>スペシャルダンジョン/極限デビルラッシュ！]]&br;絶地獄級|[[ホノピィ>モンスター図鑑/1547]]＋2000友情ポイント|
|&mons1307; 大海神 覚醒無効		|50|6|[[ワダツミ降臨！>スペシャルダンジョン/ワダツミ降臨！]]&br;超地獄級|[[ヤミピィ>モンスター図鑑/1551]]|
|&mons1252; 業断神			|50|10|[[ゼウス・ヴァルカン降臨！>スペシャルダンジョン/ゼウス・ヴァルカン降臨！]]&br;超地獄級|[[ヒカピィ>モンスター図鑑/1550]]|
|&mons1189; 創樹妃			|50|5|[[ヘラ・ベオーク降臨！>スペシャルダンジョン/ヘラ・ベオーク降臨！]]&br;超地獄級|[[モクピィ>モンスター図鑑/1549]]|
|&mons1750; 魔導姫			|50|7|[[グリモワール降臨！>スペシャルダンジョン/グリモワール降臨！]]&br;超地獄級|[[ミズピィ>モンスター図鑑/1548]]|
|&mons1119; 瞑奏神 同キャラ禁止	|50|5|[[サンダルフォン降臨！>スペシャルダンジョン/サンダルフォン降臨！]]&br;超地獄級|[[ホノピィ>モンスター図鑑/1547]]|
|&mons1711; 勇将軍			|50|6|[[趙雲 参上！>スペシャルダンジョン/趙雲 参上！]]&br;超地獄級|[[ヤミピィ>モンスター図鑑/1551]]|
|&mons1837; 冥護神			|50|6|[[メジェドラ降臨！>スペシャルダンジョン/メジェドラ降臨！]]&br;超地獄級|[[ヒカピィ>モンスター図鑑/1550]]|
|&mons645; 狂皇子			|50|5|[[ベルゼブブ降臨！>スペシャルダンジョン/ベルゼブブ降臨！]]&br;超地獄級|[[モクピィ>モンスター図鑑/1549]]|
|&mons1461; 聖舶神 全属性必須		|50|6|[[ノア降臨！>スペシャルダンジョン/ノア降臨！]]&br;超地獄級|[[たまドラ>モンスター図鑑/0797]]&br;（HP+3、攻撃+3、回復+3）|
|&mons1879; 重剣龍			|50|6|[[ディアゴルドス降臨！>スペシャルダンジョン/ディアゴルドス降臨！]]&br;超地獄級|[[超キングゴールドドラゴン>モンスター図鑑/0309]]|
|&mons648; 煌女神			|50|4|[[アテナ降臨！>スペシャルダンジョン/アテナ降臨！]]&br;超地獄級|[[超キングメタルドラゴン>モンスター図鑑/0261]]|
|&mons565; 大義賊			|50|5|[[大泥棒参上！>スペシャルダンジョン/大泥棒参上！]]&br;地獄級|2000友情ポイント|
|&mons221; 双勇者			|40|5|[[勇者降臨！>スペシャルダンジョン/勇者降臨！]]&br;地獄級|200万コイン|


* コメント [#x2d93143]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
