* 降臨チャレンジ！5【ノーコン】 [#rba4c151]

- [[降臨チャレンジ！>スペシャルダンジョン/降臨チャレンジ！]]

|~名称		|~スタミナ|~バトル|~備考|~クリア報酬|
||RIGHT:|RIGHT:||BGCOLOR(#ffd):|c
|>|>|>|>|BGCOLOR(#ffffff):【5】2015/06/05～2015/06/11（クリア期限は06/12まで）|
|&mons1215; 真龍界			|99|7|[[極限ドラゴンラッシュ！>スペシャルダンジョン/極限ドラゴンラッシュ！]]&br;絶地獄級|[[ホノピィ>モンスター図鑑/1547]]＋1000万コイン|
|&mons918; 神世界			|99|5|[[極限ゴッドラッシュ！>スペシャルダンジョン/極限ゴッドラッシュ！]]&br;絶地獄級|[[ヤミピィ>モンスター図鑑/1551]]＋2000友情ポイント|
|&mons1119; 瞑奏神 同キャラ禁止		|50|5|[[サンダルフォン降臨！>スペシャルダンジョン/サンダルフォン降臨！]]&br;超地獄級|[[ヒカピィ>モンスター図鑑/1550]]|
|&mons1252; 業断神			|50|10|[[ゼウス・ヴァルカン降臨！>スペシャルダンジョン/ゼウス・ヴァルカン降臨！]]&br;超地獄級|[[モクピィ>モンスター図鑑/1549]]|
|&mons1462; 星知神			|50|6|[[トト＆ソティス降臨！>スペシャルダンジョン/トト＆ソティス降臨！]]&br;超地獄級|[[ミズピィ>モンスター図鑑/1548]]|
|&mons1532; 海澪神			|50|10|[[ゼウス・マーキュリー降臨！>スペシャルダンジョン/ゼウス・マーキュリー降臨！]]&br;超地獄級|[[闇の宝玉>モンスター図鑑/1329]]|
|&mons1711; 勇将軍			|50|6|[[趙雲 参上！>スペシャルダンジョン/趙雲 参上！]]&br;超地獄級|[[光の宝玉>モンスター図鑑/1328]]|
|&mons650; 天地神			|50|5|[[ゼウス・ディオス降臨！>スペシャルダンジョン/ゼウス・ディオス降臨！]]&br;超地獄級|[[木の宝玉>モンスター図鑑/1327]]|
|&mons1461; 聖舶神 全属性必須		|50|6|[[ノア降臨！>スペシャルダンジョン/ノア降臨！]]&br;超地獄級|[[水の宝玉>モンスター図鑑/1326]]|
|&mons187; 全能神			|50|5|[[ゼウス降臨！>スペシャルダンジョン/ゼウス降臨！]]&br;超地獄級|[[火の宝玉>モンスター図鑑/1325]]|
|&mons648; 煌女神			|50|4|[[アテナ降臨！>スペシャルダンジョン/アテナ降臨！]]&br;超地獄級|[[たまドラ>モンスター図鑑/0797]]&br;（HP+3、攻撃+3、回復+3）|
|&mons1098; 剛戦神			|50|5|[[ヘラクレス降臨！>スペシャルダンジョン/ヘラクレス降臨！]]&br;地獄級|[[クイーンゴールドドラゴン>モンスター図鑑/0430]]|
|&mons1525; 義愛龍 全属性必須		|50|7|[[カネツグ降臨！>スペシャルダンジョン/カネツグ降臨！]]&br;地獄級|[[クイーンメタルドラゴン>モンスター図鑑/0429]]|
|&mons226; 聖女神			|50|5|[[女神降臨！>スペシャルダンジョン/女神降臨！]]&br;地獄級|2000友情ポイント|
|&mons221; 双勇者			|40|5|[[勇者降臨！>スペシャルダンジョン/勇者降臨！]]&br;地獄級|200万コイン|


* コメント [#x2d93143]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
